code,preshead,theta
3272,,
3273,,
3274,,
3281,,
3282,,
3283,,
3290,,
3291,,
3292,,
3293,,
3300,,
3301,,
3302,,
3303,,
3310,,
3311,,
3312,,
3313,,
3320,,
3321,,
3322,,
3323,,
3330,,
3331,,
3332,,
3340,3.0,0.264
3340,4.0,0.27
3340,5.0,0.239
3340,9.0,0.217
3340,10.0,0.204
3340,11.0,0.196
3340,17.0,0.182
3340,18.0,0.189
3340,19.0,0.167
3340,20.0,0.171
3340,25.0,0.136
3340,26.0,0.126
3340,28.0,0.12
3340,37.0,0.105
3340,38.0,0.091
3340,41.0,0.085
3340,42.0,0.093
3340,57.0,0.074
3340,60.0,0.07
3340,62.0,0.086
3340,83.0,0.061
3340,85.0,0.064
3340,91.0,0.069
3340,145.0,0.065
3340,146.0,0.055
3340,147.0,0.061
3340,150.0,0.056
3341,3.0,0.369
3341,5.0,0.372
3341,7.0,0.323
3341,8.0,0.352
3341,12.0,0.358
3341,14.0,0.317
3341,24.0,0.347
3341,25.0,0.305
3341,32.0,0.326
3341,33.0,0.292
3341,34.0,0.265
3341,35.0,0.286
3341,46.0,0.271
3341,47.0,0.25
3341,48.0,0.291
3341,65.0,0.248
3341,66.0,0.245
3341,68.0,0.287
3341,90.0,0.224
3341,92.0,0.223
3341,94.0,0.262
3341,141.0,0.242
3341,151.0,0.2
3341,154.0,0.19
3341,155.0,0.209
3350,,
3351,,
3360,,
3361,,
3370,,
3371,,
3380,,
3381,,
3390,,
3391,,
3392,,
3393,,
3395,,
4000,,
4001,,
4010,,
4011,,
4020,,
4021,,
4030,,
4031,,
4032,,
4033,,
4040,,
4041,,
4042,,
4043,,
4050,,
4051,,
4052,,
4060,,
4061,,
4062,,
4070,,
4071,,
4080,,
4081,,
4082,,
4090,,
4091,,
4092,,
4100,,
4101,,
4102,,
4110,,
4111,,
4112,,
4120,,
4121,,
4130,,
4131,,
4132,,
4140,,
4141,,
4142,,
4150,,
4151,,
4152,,
4160,,
4161,,
4162,,
4170,,
4171,,
4172,,
4180,,
4181,,
4182,,
4183,,
4190,,
4191,,
4192,,
4193,,
4194,,
4195,,
4200,,
4201,,
4202,,
4203,,
4204,,
4210,,
4211,,
4212,,
4213,,
