publication_ID,publication
55,"Richard et al., 1983. Phys. Eig. von Boeden der Schweiz. Vol 3. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec. Publ.  15"
56,"Richard et al., 1983. Phys. Eig. von Boeden der Schweiz. Vol 3. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec. Publ.  16"
57,"Richard et al., 1983. Phys. Eig. von Boeden der Schweiz. Vol 3. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec. Publ.  17"
58,"Richard and Luescher, 1987. Phys. Eig. von Boeden der Schweiz.  Vol 4. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec.  Publ. 19"
59,"Richard and Luescher, 1987. Phys. Eig. von Boeden der Schweiz.  Vol 4. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec.  Publ. 22"
60,"Richard and Luescher, Phys. Eig. von Boeden der Schweiz. Vol 5. Eidg. Anstalt fuer Vers. CH-8093 Birmensdorf, Spec. Publ.  25"
61,Ann. reports of VNIIGIM (Allunion Inst. of Hydrotech. & Melioration).
62,"Suhanova, ""Analysis of ...""(1989).  Publ. of Moscow Hydromelioration Inst."
63,"Shein, Thesis, Moscow State Univ, 1990."
64,"Meschtankova, L., Ph.D. Thesis, Moscow State Univ., 1989."
65,CSSRI Annual Report
66,"Schuh et al., Water Resource Inv. No.18, NDSWC 1991."
67,"Tiktak and Bouten, ""Soil hydr. system characterization..."""
68,South. Coop. Ser. Bull. No.264 April 1986.
69,"South. Coop. Ser. Bull. 266, 1985."
70,"Aust. J. Soil Res. 25: 1-7, 1987"
71,"Olsson and Rose, (1978) Hydraulic properties of a red-brown earth determined from in-situ measurements.  Aust. J. Soil Res. 16:169-80"
72,"Jacobsen, Tidsskrift for Planteavl S 2030, 1989"
73,"Bouten et al.(1991) Published in Hydrol. Processes., vol 6:435-444."
74,"Ehlers, Soil Sci. Soc. Am. J. 40:837-840, 1976"
75,"Ehlers, Geoderma 19:293-306, 1977"
76,"Dane, 1976.  Soil hydr. cond. - salt relationships. Ph.D.  Thesis. Colorado State Univ.  Dane and Klute, 1977.  Salt effects on the hydr"
77,"Hopmans and Stricker, Soil hydraulic properties in the study area Hupsels..., Agric. Univ. Wageningen, 1987."
78,"Haverkamp and Parlange, 1986.  Predicting the water-retention curve from particle-size dist.: 1. Sandy soils without organic matter. Soi"
79,"Vauclin et al., 1989.  Numerical modeling of coupled heat and water flows during drying in a stratified bare soil. Journal of Hydrology,"
80,"Vachaud et al., 1982.  La station hydroclimatologique du Mornag III. Estimation de la consommation hydrique d'nue culture de ble en sec,"
81,"Haverkamp, 1981.  Valorisation des resultats relatifs a l'etude des relations eau-sol-plantes a Bouake. Rapport no.  1947, International"
82,"Vachaud et al., 1978.  Methodes de caracterisation hydrodynamique in situ d'un sol non sature. Ann. Agronomique, 29(1):1-36"
83,"Haverkamp et al., 1978.  Caracterisation hydrodynamique in situ a partir d'un essai d'infiltration. Ann. meeting of the FAO/UNESCO. Colo"
84,J.I. Freijer and L. de Lange. 1990. Determination of hydraulic conductivity of four Dutch soils with the sprinkling infiltrometer method
85,"Freyer, Comparison of six methods to determine unsaturated hydr. cond. (in press)"
86,"Gudima, Ph.D. Thesis, Moscow State Univ., Dep. Soil Sci., 1991"
87,"Gudima, Ph.D. Thesis, Moscow State Univ., Dept. Soil Sci., 1990"
88,"Gudima, Ph.D. Thesis, Moscow State Univ., Dept. Soil Sci., 1975"
89,"Ball and O'Sullivan, 1987. Soil & Till. Res. 9:103-122"
90,"Becher, 1970. Ph.D. Thesis, TU Hannover, Germany"
91,"Moore, R.E., Hilgardia 12(6):383-427, 1939"
92,"Staple. W.J., 1965. Can. J. Soil Sci. 45:78-86"
93,"Black et al., Soil Sci. Soc. Am. Proc. 33:655-660. 1969"
94,Bull. IASH XI No.1:69-110. 1966
95,"Elrick and Bowman, 1964. Soil Sci. Soc. Am. Proc. 28:450-452"
96,"Green, et al., 1964. Soil Sci. Soc. Am. Proc. 28:15-19"
97,"Poulovassilis, 1970. Soil Science 109(1):5-12"
98,"Vachand, Bull. AIHS Wageningen Symposium pp.277-292"
99,"Luthin and Day, Soil Sci. Soc. Am. Proc. 19:406-410."
