code,theta,conductivity
4583,,
4590,,
4591,,
4592,,
4600,,
4601,,
4602,,
4610,,
4611,,
4612,,
4620,,
4621,,
4622,,
4650,,
4651,,
4660,,
4661,,
4670,,
4671,,
4672,,
4673,,
4680,,
4681,,
4690,,
4700,,
4710,,
4720,,
4750,,
4760,,
4770,,
4780,,
4790,,
4791,,
4800,,
4801,,
4810,,
4870,,
4880,,
4881,,
4890,0.047,1.44
4890,0.077,1.44
4890,0.103,2.88
4890,0.128,4.32
4890,0.163,8.64
4890,0.19,17.28
4890,0.21,20.16
4890,0.224,24.48
4890,0.24,28.8
4890,0.257,31.68
4890,0.295,33.12
4910,0.278,0.04925
4910,0.367,1.065
4910,0.433,5.589
4920,0.347,0.004
4920,0.359,0.0075
4920,0.378,0.0101
4920,0.394,0.0936
4920,0.463,0.1019
4920,0.432,0.1808
4921,0.448,0.2292
4921,0.436,0.3683
4921,0.471,0.5797
4921,0.519,1.597
4921,0.538,3.575
4921,0.546,8.303
4922,0.271,0.0044
4922,0.29,0.0137
4922,0.317,0.0549
4922,0.342,0.1532
4923,0.229,0.00667
4923,0.247,0.02406
4923,0.272,0.06858
4923,0.293,0.2057
4923,0.32,0.3743
4940,0.116,66.38
4940,0.13,107.2
4940,0.155,199.2
4940,0.18,314.0
4940,0.206,487.7
4940,0.219,625.5
4940,0.231,755.7
4940,0.248,993.2
4940,0.254,1162.0
4941,0.008,39.36
4941,0.016,53.33
4941,0.027,71.11
4941,0.041,91.44
4941,0.057,121.9
4941,0.072,160.0
4941,0.09,205.7
4941,0.104,241.3
4941,0.115,276.8
4941,0.123,307.3
4941,0.135,347.9
4941,0.147,398.7
4941,0.158,439.4
4941,0.17,500.3
4941,0.181,556.2
4941,0.188,603.2
4941,0.196,650.2
4941,0.201,687.0
4941,0.207,728.9
4941,0.214,772.1
4941,0.223,827.9
4941,0.227,868.6
4941,0.232,921.9
4941,0.24,975.2
4950,0.251,191.5
4950,0.282,573.1
4950,0.302,990.7
4950,0.321,1685.0
4950,0.343,2501.0
4950,0.362,3335.0
4950,0.382,4707.0
4960,,
