code,theta,conductivity
1281,0.323,0.9508
1281,0.315,0.7473
1281,0.311,0.1247
1281,0.301,0.1668
1281,0.295,0.5163
1281,0.287,0.4857
1281,0.283,0.1604
1281,0.282,0.1399
1281,0.277,0.06508
1281,0.265,0.1324
1281,0.26,0.1479
1281,0.257,0.02111
1281,0.252,0.03061
1281,0.248,0.02183
1281,0.245,0.06392
1281,0.232,0.04299
1281,0.227,0.00617
1281,0.224,0.00907
1281,0.221,0.02368
1281,0.214,0.00525
1281,0.211,0.01128
1281,0.209,0.0069
1281,0.194,0.00793
1281,0.192,0.00431
1281,0.19,0.00405
1282,0.399,1.708
1282,0.395,2.121
1282,0.394,9.607
1282,0.394,8.478
1282,0.389,2.792
1282,0.388,1.37
1282,0.386,0.7172
1282,0.384,3.054
1282,0.381,0.3367
1282,0.379,0.4889
1282,0.378,0.138
1282,0.376,0.9131
1282,0.374,2.846
1282,0.371,0.7227
1282,0.37,0.04447
1282,0.369,0.2395
1282,0.366,1.387
1282,0.365,0.06982
1282,0.362,0.1929
1282,0.361,0.08491
1282,0.358,0.5662
1282,0.356,0.0292
1282,0.355,0.01182
1282,0.354,0.2368
1282,0.352,0.06681
1282,0.347,0.00538
1282,0.346,0.02666
1282,0.345,0.09366
1282,0.345,0.01071
1282,0.341,0.167
1282,0.34,0.02309
1282,0.339,0.00293
1282,0.334,0.00943
1282,0.333,0.03087
1282,0.329,0.005
1282,0.326,0.00874
1282,0.326,0.05608
1282,0.323,0.001
1282,0.32,0.01063
1282,0.318,0.00284
1282,0.314,0.0046
1282,0.308,0.00148
1282,0.306,0.00396
1282,0.305,0.01522
1282,0.297,0.00197
1282,0.29,0.007453
1282,0.288,0.00091
1282,0.272,0.00281
1290,,
1300,0.38,9.6
1300,0.37,2.88
1300,0.365,1.344
1300,0.35,0.48
1300,0.32,0.1848
1300,0.28,0.1344
1300,0.27,0.096
1300,0.26,0.0672
1300,0.25,0.0288
1301,0.28,11.76
1301,0.31,5.28
1301,0.34,1.176
1301,0.355,0.408
1301,0.36,0.144
1301,0.375,0.0792
1301,0.38,0.0204
1310,0.165,13.92
1310,0.12,4.56
1310,0.1,1.968
1310,0.095,1.584
1310,0.085,0.432
1310,0.06,0.144
1320,,
1330,,
1331,,
1340,,
1341,,
1342,,
1350,,
1351,,
1352,,
1360,0.428,0.2194
1360,0.422,0.0287
1360,0.42,0.5567
1360,0.419,0.38
1360,0.418,0.02365
1360,0.416,0.1379
1360,0.414,0.00891
1360,0.413,0.307
1360,0.41,0.00429
1360,0.409,0.03956
1360,0.408,0.01067
1360,0.406,0.00267
1360,0.405,0.215
1360,0.404,0.00383
1360,0.402,0.00167
1360,0.399,0.01732
1360,0.396,0.00072
1360,0.394,0.00093
1360,0.393,0.00061
1360,0.392,0.0008
1360,0.39,0.00588
1360,0.389,0.00051
1360,0.388,0.0005
1360,0.386,0.00078
1360,0.383,0.00021
1360,0.381,0.00047
1360,0.38,4e-05
1360,0.377,0.00014
1360,0.376,0.00029
1360,0.374,0.00026
1360,0.372,0.00013
1360,0.367,8e-05
1360,0.361,0.00016
1361,0.456,4.629
1361,0.454,2.697
1361,0.451,1.633
1361,0.446,0.6667
1361,0.444,0.6664
1361,0.44,0.5206
1361,0.439,0.2814
1361,0.435,0.2103
1361,0.432,0.2736
1361,0.43,0.2107
1361,0.428,1.175
1361,0.425,0.01383
1361,0.419,0.04947
1361,0.418,0.00327
1361,0.416,0.506
1361,0.414,0.2468
1361,0.412,0.292
1361,0.411,0.4017
1361,0.409,0.00078
1361,0.407,0.2211
1361,0.405,0.00086
1361,0.404,0.00203
1361,0.401,0.00416
1361,0.4,0.02773
1361,0.398,0.00044
1361,0.395,0.00059
1361,0.394,0.0018
1361,0.389,0.00062
1361,0.386,0.00044
1361,0.385,0.00023
1361,0.384,0.00018
1361,0.383,4e-05
1361,0.382,0.00033
1361,0.379,0.00013
1361,0.375,0.00012
1361,0.373,0.00045
1361,0.372,8e-05
1361,0.369,3e-05
1361,0.365,0.0003
1362,0.51,1.635
1362,0.49,2.197
1362,0.489,3.956
1362,0.472,0.9749
1362,0.461,4.999
1362,0.443,2.493
1362,0.44,1.007
1362,0.431,0.1139
1362,0.428,3.209
1362,0.417,0.02256
1362,0.406,0.1358
1362,0.405,0.3995
1362,0.402,0.6315
1362,0.397,0.00379
1362,0.389,0.1651
1362,0.386,0.00562
1362,0.385,0.00148
1362,0.384,0.00759
1362,0.383,0.03269
