code,particle_size,particle_fraction
1101,1000.0,0.987
1101,2000.0,0.999
1102,2.0,0.223
1102,50.0,0.303
1102,125.0,0.35
1102,250.0,0.556
1102,500.0,0.819
1102,1000.0,0.991
1102,2000.0,1.0
1103,2.0,0.291
1103,50.0,0.348
1103,125.0,0.383
1103,250.0,0.566
1103,500.0,0.835
1103,1000.0,0.989
1103,2000.0,0.999
1104,2.0,0.297
1104,50.0,0.319
1104,125.0,0.347
1104,250.0,0.516
1104,500.0,0.824
1104,1000.0,0.995
1104,2000.0,1.0
1110,2.0,0.011
1110,50.0,0.116
1110,125.0,0.19
1110,250.0,0.574
1110,500.0,0.878
1110,1000.0,0.99
1110,2000.0,1.001
1111,2.0,0.021
1111,50.0,0.163
1111,125.0,0.231
1111,250.0,0.597
1111,500.0,0.881
1111,1000.0,0.986
1111,2000.0,0.998
1112,2.0,0.179
1112,50.0,0.332
1112,125.0,0.39
1112,250.0,0.692
1112,500.0,0.907
1112,1000.0,0.988
1112,2000.0,1.0
1113,2.0,0.274
1113,50.0,0.368
1113,125.0,0.427
1113,250.0,0.687
1113,500.0,0.889
1113,1000.0,0.976
1113,2000.0,1.001
1114,2.0,0.268
1114,50.0,0.378
1114,125.0,0.436
1114,250.0,0.692
1114,500.0,0.893
1114,1000.0,0.974
1114,2000.0,1.0
1115,2.0,0.315
1115,50.0,0.447
1115,125.0,0.51
1115,250.0,0.748
1115,500.0,0.917
1115,1000.0,0.986
1115,2000.0,1.0
1116,2.0,0.282
1116,50.0,0.401
1116,125.0,0.494
1116,250.0,0.738
1116,500.0,0.898
1116,1000.0,0.983
1116,2000.0,1.0
1117,2.0,0.243
1117,50.0,0.338
1117,125.0,0.42
1117,250.0,0.661
1117,500.0,0.84
1117,1000.0,0.958
1117,2000.0,1.007
1120,2.0,0.086
1120,50.0,0.386
1120,106.0,0.508
1120,250.0,0.819
1120,500.0,0.986
1120,1000.0,0.999
1120,2000.0,1.0
1121,2.0,0.181
1121,50.0,0.45
1121,106.0,0.577
1121,250.0,0.855
1121,500.0,0.986
1121,1000.0,0.997
1121,2000.0,1.0
1122,2.0,0.269
1122,50.0,0.535
1122,106.0,0.638
1122,250.0,0.876
1122,500.0,0.986
1122,1000.0,0.997
1122,2000.0,0.999
1123,2.0,0.318
1123,50.0,0.654
1123,106.0,0.728
1123,250.0,0.891
1123,500.0,0.987
1123,1000.0,0.998
1123,2000.0,0.999
1130,2.0,0.067
1130,50.0,0.289
1130,125.0,0.394
1130,250.0,0.664
1130,500.0,0.874
1130,1000.0,0.985
1130,2000.0,0.999
1131,2.0,0.075
1131,50.0,0.292
1131,125.0,0.469
1131,250.0,0.642
1131,500.0,0.881
1131,1000.0,0.98
1131,2000.0,1.0
1132,2.0,0.215
1132,50.0,0.422
1132,125.0,0.519
1132,250.0,0.715
1132,500.0,0.886
1132,1000.0,0.982
1132,2000.0,1.0
1133,2.0,0.286
1133,50.0,0.439
1133,125.0,0.52
1133,250.0,0.722
1133,500.0,0.882
1133,1000.0,0.978
1133,2000.0,1.0
1134,2.0,0.405
1134,50.0,0.511
1134,125.0,0.593
1134,250.0,0.754
1134,500.0,0.899
1134,1000.0,0.979
1134,2000.0,0.999
1135,2.0,0.41
1135,50.0,0.5
1135,125.0,0.567
1135,250.0,0.745
1135,500.0,0.878
1135,1000.0,0.96
1135,2000.0,0.998
1140,2.0,0.02
1140,50.0,0.08
1140,125.0,0.186
1140,250.0,0.58
1140,500.0,0.858
1140,1000.0,0.98
1140,2000.0,1.007
1141,2.0,0.02
1141,50.0,0.1
1141,125.0,0.209
1141,250.0,0.6
1141,500.0,0.864
1141,1000.0,0.979
1141,2000.0,1.0
1142,2.0,0.03
1142,50.0,0.13
1142,125.0,0.247
1142,250.0,0.615
1142,500.0,0.864
1142,1000.0,0.977
1142,2000.0,0.999
1143,2.0,0.1
1143,50.0,0.19
1143,125.0,0.297
1143,250.0,0.6
1143,500.0,0.85
1143,1000.0,0.968
1143,2000.0,1.003
1150,2.0,0.102
1150,50.0,0.199
1150,125.0,0.425
1150,250.0,0.827
1150,500.0,0.967
1150,1000.0,0.997
1150,2000.0,1.0
1151,2.0,0.068
1151,50.0,0.159
