theta_sat,horizon,family,OM_content,pH,location,keyword,date,texture,particle_density,porosity,series,k_sat,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,18.0,0.182
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,19.0,0.159
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,21.0,0.14
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,22.0,0.13
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,25.0,0.116
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,26.0,0.112
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4940,0.0,0.0,0.0,0.362,0.62,0.9101428571428571,1.0,1.76,36.0,0.088
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,9.0,0.25
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,10.0,0.243
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,11.0,0.229
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,14.0,0.222
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,15.0,0.219
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,15.0,0.215
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,16.0,0.207
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,18.0,0.191
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,18.0,0.186
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,20.0,0.167
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,22.0,0.146
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,26.0,0.122
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,30.0,0.108
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,31.0,0.106
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,4941,0.0,0.0,0.0,0.348,0.591,0.9078571428571428,1.0,1.81,38.0,0.088
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,0.806,,,,,,,,,,,
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.51,0.0,3.52,,,,,,,,,,,
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.433,0.0,8.64,,,,,,,,,,,
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,,,,,,,,,,,
