code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,0.0,0.3608
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,0.4,0.3482
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,1.0,0.3387
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,2.0,0.2972
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,3.0,0.1982
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,4.0,0.1427
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,5.0,0.1182
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,6.0,0.1057
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,10.0,0.0835
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,14.0,0.0767
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,18.0,0.0707
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,24.0,0.0655
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,32.0,0.0622
1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,40.0,0.059
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,0.0,0.3505
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,0.4,0.3264
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,1.0,0.3194
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,2.0,0.2599
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,3.0,0.1469
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,4.0,0.1082
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,5.0,0.0899
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,6.0,0.0807
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,10.0,0.0627
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,14.0,0.0585
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,18.0,0.0535
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,24.0,0.0505
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,32.0,0.0475
1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,40.0,0.0455
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,0.0,0.3727
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,0.4,0.3355
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,1.0,0.3317
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,2.0,0.2412
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,3.0,0.1411
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,4.0,0.0953
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,5.0,0.0782
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,6.0,0.0699
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,10.0,0.0576
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,14.0,0.0513
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,18.0,0.0473
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,24.0,0.0463
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,32.0,0.0406
1063,0.04,0.07,0.08866666666666667,0.307,0.647,0.913,1.0,1.55,40.0,0.0401
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,0.0,0.4625
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,0.4,0.4293
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,1.0,0.4061
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,2.0,0.29
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,3.0,0.2143
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,4.0,0.17
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,5.0,0.1429
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,6.0,0.1282
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,10.0,0.1009
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,14.0,0.0906
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,18.0,0.0876
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,24.0,0.0823
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,32.0,0.0779
1070,0.022,0.072,0.11733333333333335,0.36,0.599,0.882,1.0,1.46,40.0,0.0751
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,0.0,0.309
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,0.4,0.3027
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,1.0,0.2801
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,2.0,0.2294
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,3.0,0.1483
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,4.0,0.115
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,5.0,0.1007
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,6.0,0.0902
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,10.0,0.0757
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,14.0,0.0686
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,18.0,0.0643
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,24.0,0.0616
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,32.0,0.0573
1071,0.047,0.082,0.10666666666666666,0.297,0.53,0.84,1.0,1.62,40.0,0.0558
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,0.0,0.3282
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,0.4,0.3032
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,1.0,0.2823
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,2.0,0.1952
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,3.0,0.1361
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,4.0,0.104
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,5.0,0.0873
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,6.0,0.079
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,10.0,0.0657
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,14.0,0.0592
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,18.0,0.0565
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,24.0,0.0547
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,32.0,0.0521
1072,0.053,0.075,0.09766666666666667,0.286,0.485,0.773,1.0,1.6,40.0,0.0496
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,0.0,0.3233
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,0.4,0.2922
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,1.0,0.2732
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,2.0,0.1587
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,3.0,0.1009
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,4.0,0.0719
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,5.0,0.0576
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,6.0,0.0506
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,10.0,0.0422
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,14.0,0.0358
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,18.0,0.034
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,24.0,0.033
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,32.0,0.0311
1073,0.03,0.036,0.04933333333333333,0.187,0.38,0.703,1.0,1.59,40.0,0.03
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,0.0,0.3611
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,0.4,0.3278
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,1.0,0.2594
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,2.0,0.1412
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,3.0,0.0859
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,4.0,0.0647
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,5.0,0.0539
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,6.0,0.045
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,10.0,0.0383
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,14.0,0.0311
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,18.0,0.0294
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,24.0,0.0272
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,32.0,0.0261
1074,0.025,0.027,0.04166666666666667,0.16,0.371,0.723,1.0,1.55,40.0,0.0241
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,0.0,0.3678
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,0.4,0.3217
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,1.0,0.2762
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,2.0,0.1723
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,3.0,0.1099
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,4.0,0.0875
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,5.0,0.0784
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,6.0,0.0714
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,10.0,0.065
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,14.0,0.056
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,18.0,0.0554
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,24.0,0.0529
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,32.0,0.0519
1075,0.053,0.059,0.06833333333333333,0.186,0.421,0.844,1.0,1.57,40.0,0.0494
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,0.0,0.291
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,1.0,0.3069
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,2.0,0.2695
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,4.0,0.1566
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,6.0,0.1317
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,8.0,0.1171
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,15.0,0.0987
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,50.0,0.0875
1100,0.053,0.112,0.15000000000000002,0.397,0.75,0.985,1.001,1.74,100.0,0.081
1110,0.011,0.116,0.16533333333333333,0.574,0.878,0.99,1.001,1.69,0.0,0.3351
1110,0.011,0.116,0.16533333333333333,0.574,0.878,0.99,1.001,1.69,1.0,0.2955
1110,0.011,0.116,0.16533333333333333,0.574,0.878,0.99,1.001,1.69,2.0,0.2865
1110,0.011,0.116,0.16533333333333333,0.574,0.878,0.99,1.001,1.69,3.0,0.2862
1110,0.011,0.116,0.16533333333333333,0.574,0.878,0.99,1.001,1.69,4.0,0.2564
