particle_fraction,theta_sat,horizon,particle_size,family,OM_content,bulk_density,pH,location,code,keyword,avetemp_jan,avetemp_jul,date,depth_lower,theta,annual_rain,texture,particle_density,porosity,series,preshead,k_sat,depth_upper
0.03,0.384,Ap,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.17,0.384,Ap,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.279,0.384,Ap,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.735,0.384,Ap,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.921,0.384,Ap,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.994,0.384,Ap,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
1.002,0.384,Ap,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.03,,A21,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.175,,A21,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.295,,A21,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.757,,A21,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.927,,A21,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.995,,A21,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
1.004,,A21,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.025,,A22,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.175,,A22,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.285,,A22,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.734,,A22,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.905,,A22,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.986,,A22,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
1.002,,A22,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.02,,A23,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.15,,A23,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.286,,A23,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.758,,A23,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.92,,A23,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.991,,A23,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
1.002,,A23,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.49,,"Union Springs, AL, USA",1013,undisturbed,7.8,26.7,1979,123.0,,140.0,loamy sand,2.67,0.44,Troup,,161.0,92.0
0.02,,B1,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.13,,B1,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.256,,B1,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.743,,B1,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.916,,B1,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.985,,B1,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.997,,B1,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.53,,"Union Springs, Al, USA",1014,undisturbed,7.8,26.7,1979,134.0,,140.0,sand,2.76,0.45,Troup,,199.0,123.0
0.06,,B21t,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.18,,B21t,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.307,,B21t,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.75,,B21t,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.917,,B21t,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.983,,B21t,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.99,,B21t,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.72,,"Union Springs, AL, USA",1015,undisturbed,,,1979,154.0,,,loamy sand,2.63,0.35,Troup,,60.4,134.0
0.045,,Ap,2.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.1,,Ap,50.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.121,,Ap,100.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.173,,Ap,250.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.2,,Ap,500.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.804,,Ap,1000.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.997,,Ap,2000.0,,,1.61,,"Blackville, SC, USA",1020,undisturbed,,,,23.0,,,sand,,,Lakeland,,,0.0
0.06,,C1,2.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.11,,C1,50.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.15,,C1,100.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.247,,C1,250.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.28,,C1,500.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.908,,C1,1000.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
1.003,,C1,2000.0,,,1.58,,"Blackville, SC, USA",1021,undisturbed,,,,41.0,,,sand,,,Lakeland,,,23.0
0.043,,C2,2.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.107,,C2,50.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.133,,C2,100.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.204,,C2,250.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.237,,C2,500.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.862,,C2,1000.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
1.003,,C2,2000.0,,,1.6,,"Blackville, SC, USA",1022,undisturbed,,,,81.0,,,sand,,,Lakeland,,,41.0
0.02,,C3,2.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.06,,C3,50.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.08,,C3,100.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.163,,C3,250.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.216,,C3,500.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.771,,C3,1000.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
1.002,,C3,2000.0,,,1.67,,"Blackville, SC, USA",1023,undisturbed,,,,106.0,,,sand,,,Lakeland,,,81.0
0.02,,C4,2.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.05,,C4,50.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.08,,C4,100.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.215,,C4,250.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.277,,C4,500.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.82,,C4,1000.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
1.006,,C4,2000.0,,,1.68,,"Blackville, SC, USA",1024,undisturbed,,,,125.0,,,sand,,,Lakeland,,,106.0
0.073,,Ap,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.21,,Ap,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.303,,Ap,100.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.685,,Ap,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.914,,Ap,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.993,,Ap,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
1.0,,Ap,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",1.7,1.48,,"Jay, FL, USA",1030,undisturbed,,,,15.0,,,loamy sand,,,Troup,,,0.0
0.078,,A21,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.21,,A21,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.319,,A21,100.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.692,,A21,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.907,,A21,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.946,,A21,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.95,,A21,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.2,1.48,,"Jay, FL, USA",1031,undisturbed,,,,41.0,,,loamy sand,,,Troup,,,15.0
0.078,,A22,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.2,,A22,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.307,,A22,100.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.679,,A22,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.89,,A22,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.896,,A22,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
0.91,,A22,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.1,1.53,,"Jay, FL, USA",1032,undisturbed,,,,71.0,,,loamy sand,,,Troup,,,41.0
,,Ap,,Typic Quartzipsamment,1.92,1.601,,"Live Oak, FL, USA",1040,undisturbed,,,,20.0,,,sand,2.59,,Lakeland,,452.8,0.0
0.02,,C1,2.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.07,,C1,50.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.232,,C1,125.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.76,,C1,250.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.925,,C1,500.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.988,,C1,1000.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.992,,C1,2000.0,Typic Quartzipsamment,0.783,1.512,,"Live Oak, FL, USA",1041,undisturbed,,,,69.0,,,sand,2.65,,Lakeland,,542.9,20.0
0.03,,C2,2.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.04,,C2,50.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.2,,C2,125.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.756,,C2,250.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.912,,C2,500.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.967,,C2,1000.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.972,,C2,2000.0,Typic Quartzipsamment,0.31,1.562,,"Live Oak, FL, USA",1042,undisturbed,,,,129.0,,,sand,2.58,,Lakeland,,666.2,69.0
0.03,,C3,2.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
0.07,,C3,50.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
0.225,,C3,125.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
0.772,,C3,250.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
0.952,,C3,500.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
1.017,,C3,1000.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
1.023,,C3,2000.0,Typic Quartzipsamment,,1.593,,"Live Oak, FL, USA",1043,undisturbed,,,,180.0,,,sand,2.61,,Lakeland,,691.9,129.0
0.032,,Ap,2.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.078,,Ap,50.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.117,,Ap,125.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.216,,Ap,250.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.572,,Ap,500.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.965,,Ap,1000.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
1.0,,Ap,2000.0,"thermic, coated typic Quartzipsamment",,1.6,,"Lillington, NC, USA",1050,undisturbed,,,,20.0,,,sand,,,Lakeland,,708.0,0.0
0.082,,C1,2.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.129,,C1,50.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.149,,C1,125.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.218,,C1,250.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.51,,C1,500.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.95,,C1,1000.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
1.0,,C1,2000.0,"thermic, coated typic Quartzipsamment",,1.59,,"Lillington, NC, USA",1051,undisturbed,,,,51.0,,,loamy sand,,,Lakeland,,742.0,20.0
0.065,,C2,2.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.091,,C2,50.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.113,,C2,125.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.175,,C2,250.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.449,,C2,500.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.912,,C2,1000.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
1.001,,C2,2000.0,"thermic, coated typic Quartzipsamment",,1.55,,"Lillington, NC, USA",1052,undisturbed,,,,97.0,,,sand,,,Lakeland,,1117.0,51.0
0.037,,C3,2.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.049,,C3,50.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.058,,C3,125.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.105,,C3,250.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.366,,C3,500.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.886,,C3,1000.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
1.0,,C3,2000.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1053,undisturbed,,,,122.0,,,sand,,,Lakeland,,2784.0,97.0
0.025,,C4,2.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
0.028,,C4,50.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
0.032,,C4,125.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
0.065,,C4,250.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
0.302,,C4,500.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
0.859,,C4,1000.0,"thermic, coated typic Quartzipsamment",,1.54,,"Lillington, NC, USA",1054,undisturbed,,,,152.0,,,sand,,,Lakeland,,4176.0,122.0
