particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,34.0,0.115
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,54.0,0.094
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,80.0,0.079
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,122.0,0.07
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,325.0,0.039
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,0.0,0.316
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,5.0,0.288
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,12.0,0.198
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,24.0,0.127
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,34.0,0.108
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,54.0,0.086
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,80.0,0.076
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,122.0,0.068
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,325.0,0.043
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,3.0,0.3246
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,20.0,0.313
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,25.0,0.2986
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,30.0,0.2847
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,40.0,0.2215
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,50.0,0.1684
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,60.0,0.1336
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,80.0,0.1022
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,100.0,0.0876
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,150.0,0.0738
2.65,12.0,0.44,33.0,1.656,61.0,1.7,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,200.0,0.0688
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,350.0,0.0633
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,20.0,0.294
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,0.0,0.3841
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,4.0,0.3535
